airport_id,airport_name,city,country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,
7254,Alma Airport,Alma,Canada,YTF,CYTF,48.50889969,-71.64189911,445,-5,A
7255,Havre St Pierre Airport,Havre-Saint-Pierre,Canada,YGV,CYGV,50.2818985,-63.6114006,124,-5,A
7256,Rimouski Airport,Rimouski,Canada,YXK,CYXK,48.47809982,-68.49690247,82,-5,A
7259,Tadoule Lake Airport,Tadoule Lake,Canada,XTL,CYBQ,58.7061,-98.512199,923,-6,A
7260,Lac Brochet Airport,Lac Brochet,Canada,XLB,CZWH,58.61750031,-101.4690018,1211,-6,A
7261,South Indian Lake Airport,South Indian Lake,Canada,XSI,CZSN,56.7928009,-98.90720367,951,-6,A
7262,Brochet Airport,Brochet,Canada,YBT,CYBT,57.8894,-101.679001,1136,-6,A
7263,Little Grand Rapids Airport,Little Grand Rapids,Canada,ZGR,CZGR,52.04560089,-95.46579742,1005,-6,A
7264,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,Canada,YCR,CYCR,54.61059952,-97.76080322,709,-6,A
7265,Red Sucker Lake Airport,Red Sucker Lake,Canada,YRS,CYRS,54.16719818,-93.55719757,729,-6,A
7266,Rainbow Lake Airport,Rainbow Lake,Canada,YOP,CYOP,58.49140167,-119.4079971,1759,-7,A
7267,Bonnyville Airport,Bonnyville,Canada,YBY,CYBF,54.304199,-110.744003,1836,-7,A
7268,Nanaimo Harbour Water Airport,Nanaimo,Canada,ZNA,CAC8,49.18330002,-123.9499969,0,-8,A
7269,Ganges Seaplane Base,Ganges,Canada,YGG,CAX6,48.8545,-123.4969,0,-8,A
7272,Fort St James Airport,Fort St. James,Canada,YJM,CYJM,54.39720154,-124.2630005,2364,-8,A
7273,Boundary Bay Airport,Boundary Bay,Canada,YDT,CZBB,49.07419968,-123.012001,6,-8,A
7274,Langley Airport,Langley Township,Canada,UNKNOWN,CYNJ,49.10079956,-122.6309967,34,-8,A
7275,Denny Island Airport,Bella Bella,Canada,ZEL,CYJQ,52.139702,-128.063997,162,-8,A
7277,Wekweètì Airport,Wekweeti,Canada,YFJ,CFJ2,64.190804,-114.077002,1208,-7,A
